timestamp,BTCUSD,DOGEUSD,LTCUSD,DASHUSD,ETHUSD,ZECUSD,ETCUSD,EOSUSD,NEOUSD,BTGUSD,XRPUSDT,TRXUSD
2019-05-18 20:51:00,7279.74,0.00291622,87.0405,141.0073,236.141,72.4391,7.20604,5.90547,10.85709,20.68856,0.373386,0.0264405
2019-05-18 20:52:00,7274.22,0.00291622,86.8661,141.0073,235.979,72.4289,7.20473,5.90432,10.84852,20.66659,0.373386,0.0264453
2019-05-18 20:53:00,7272.37,0.00291899,86.8234,141.0073,235.984,72.4301,7.21649,5.90196,10.8539,20.68866,0.372566,0.0264386
2019-05-18 20:54:00,7277.5,0.00291899,86.8501,141.5325,236.049,72.4507,7.24241,5.90474,10.8613,20.68001,0.372871,0.0264413
2019-05-18 20:55:00,7281.49,0.00291623,86.8423,141.5775,236.226,72.4507,7.25167,5.90501,10.85643,20.69052,0.372893,0.0264459
2019-05-18 20:56:00,7286.2,0.00291623,86.9296,141.58,236.181,72.5,7.22978,5.9076,10.84881,20.68797,0.372786,0.0265027
2019-05-18 20:57:00,7278.49,0.00291623,86.856,141.3628,236.18,72.4606,7.24391,5.9076,10.84881,20.68857,0.372691,0.0265032
2019-05-18 20:58:00,7284.49,0.00291623,86.9503,141.5095,236.064,72.4976,7.23748,5.90748,10.85993,20.68608,0.372846,0.0264881
2019-05-18 20:59:00,7285.58,0.00291623,87.0509,141.5085,236.104,72.4652,7.23986,5.90355,10.8503,20.68642,0.373097,0.0264875
2019-05-18 21:00:00,7287.55,0.00291623,87.0402,141.5086,236.069,72.477,7.24757,5.90405,10.87825,20.68642,0.373149,0.0264588
2019-05-18 21:01:00,7290.83,0.00291623,87.1544,141.5086,236.218,72.5183,7.24757,5.90522,10.85991,20.69685,0.37337,0.0265047
2019-05-18 21:02:00,7288.64,0.00291623,87.2249,141.8055,235.994,72.4872,7.23822,5.90973,10.85991,20.69575,0.373509,0.0264745
2019-05-18 21:03:00,7287.22,0.00291623,87.3222,141.8055,235.934,72.5063,7.24479,5.90874,10.86414,20.6972,0.373721,0.0265097
2019-05-18 21:04:00,7289.63,0.00291623,87.268,141.6719,236.04,72.5064,7.24479,5.90874,10.86184,20.6972,0.373661,0.0264901
2019-05-18 21:05:00,7281.43,0.002924,87.2558,141.6537,235.782,72.4213,7.24536,5.90613,10.86496,20.6972,0.373603,0.0265076
2019-05-18 21:06:00,7278.59,0.00291575,87.1285,142.0158,235.921,72.4086,7.23665,5.90885,10.86999,20.6972,0.372683,0.0264805
2019-05-18 21:07:00,7277.93,0.00292262,87.1626,142.1874,235.95,72.4116,7.23977,5.91085,10.86691,20.6972,0.372645,0.0265048
2019-05-18 21:08:00,7282.08,0.00291984,87.1465,141.9934,236.097,72.4254,7.23987,5.91007,10.86964,20.6972,0.372772,0.0264834
2019-05-18 21:09:00,7282.96,0.00291942,87.251,142.1026,236.023,72.4233,7.22385,5.90908,10.8633,20.7,0.372673,0.026444
2019-05-18 21:10:00,7276.19,0.00291943,87.251,141.9127,235.689,72.4135,7.20704,5.90898,10.85838,20.7,0.372157,0.0264824
2019-05-18 21:11:00,7274.89,0.00292499,87.2123,141.9524,235.413,72.4242,7.19277,5.90913,10.86919,20.7,0.372102,0.0264882
2019-05-18 21:12:00,7265.5,0.00294332,87.0077,141.9284,235.041,72.3388,7.19426,5.9023,10.86903,20.69482,0.37205,0.0264698
2019-05-18 21:13:00,7272.26,0.00294753,87.0271,141.9537,234.899,72.286,7.19728,5.90302,10.85974,20.6656,0.37213,0.0264664
2019-05-18 21:14:00,7272.03,0.00295757,86.9558,141.8953,234.801,72.3313,7.19579,5.90038,10.85974,20.6656,0.37215,0.0264698
2019-05-18 21:15:00,7276.4,0.00295084,87.1953,142.0381,235.074,72.3406,7.19444,5.90275,10.85801,20.69351,0.372522,0.0264827
2019-05-18 21:16:00,7281.43,0.00295139,87.2284,142.1312,235.352,72.3982,7.19439,5.90481,10.86285,20.69086,0.372797,0.0264773
2019-05-18 21:17:00,7284.7,0.00296356,87.2308,142.3237,235.335,72.452,7.19228,5.90648,10.86321,20.65407,0.372894,0.0265093
2019-05-18 21:18:00,7279.39,0.00294202,87.2048,142.2352,235.192,72.4564,7.21666,5.90725,10.85913,20.6494,0.372819,0.026496
2019-05-18 21:19:00,7276.01,0.002962,87.1512,142.4296,235.169,72.4898,7.21513,5.90143,10.86056,20.6494,0.372533,0.026498
2019-05-18 21:20:00,7277.04,0.00296,87.1844,142.4233,235.154,72.4637,7.22139,5.90582,10.85793,20.70101,0.372667,0.0264889
2019-05-18 21:21:00,7290.83,0.00295657,87.2098,142.5591,235.407,72.5682,7.22148,5.90583,10.8676,20.698,0.373601,0.0265297
2019-05-18 21:22:00,7291.69,0.00296951,87.1908,142.6229,235.309,72.5717,7.21208,5.90696,10.86004,20.68955,0.373427,0.0265196
2019-05-18 21:23:00,7280.77,0.00295378,87.1829,142.6229,234.994,72.5317,7.22737,5.90822,10.86014,20.67377,0.372972,0.0265249
2019-05-18 21:24:00,7282.08,0.0029563,87.1806,142.7457,235.092,72.5317,7.22781,5.90668,10.85013,20.68471,0.373237,0.0265072
2019-05-18 21:25:00,7291.04,0.00296418,87.2537,142.6047,234.991,72.5631,7.21563,5.90632,10.85013,20.62607,0.373147,0.0265166
2019-05-18 21:26:00,7277.33,0.00296458,87.1559,142.5249,234.971,72.4634,7.22746,5.89953,10.85078,20.64935,0.372863,0.026525
2019-05-18 21:27:00,7276.2,0.00295865,87.1845,142.5546,234.964,72.4866,7.224,5.91128,10.85836,20.62512,0.372863,0.0265328
